Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Headdress frontlet,,,1815,1845,The American Wing,Tsimshian,Canada,https://www.metmuseum.org/art/collection/search/717587
Man's coat,,,1815,1825,The American Wing,"Innu/ Naskapi, Native American",Canada,https://www.metmuseum.org/art/collection/search/717554
"Crown of the Virgin of the Immaculate Conception, known as the Crown of the Andes",,,1655,1775,The American Wing,Colombian; Popayán,Colombia,https://www.metmuseum.org/art/collection/search/21698
Osage Warrior,Charles Balthazar Julien Févret de Saint-Mémin,,1805,1807,The American Wing,American,France,https://www.metmuseum.org/art/collection/search/11985
Calvary,Unknown,,1785,1795,The American Wing,Guatemalan,Guatemala,https://www.metmuseum.org/art/collection/search/814668
Minnehaha,Edmonia Lewis,Female,1868,1868,The American Wing,American,Italy,https://www.metmuseum.org/art/collection/search/687677
Hiawatha,Edmonia Lewis,Female,1868,1868,The American Wing,American,Italy,https://www.metmuseum.org/art/collection/search/687670
Basin,Master Potter A,,1647,1650,The American Wing,Mexican,Mexico,https://www.metmuseum.org/art/collection/search/674
Covered jar,,,1670,1700,The American Wing,Mexican,Mexico,https://www.metmuseum.org/art/collection/search/662163
Spindle-back armchair,,,1640,1680,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/200
Side Chair,Benjamin Randolph,,1764,1774,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/1662
Cabinet,Daniel Pabst,,1868,1881,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/1083
Hair Ornament,Louis C. Tiffany,,1901,1907,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/2046
Bottle,Wistarburgh Glassworks,,1738,1777,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/632
Two-handled Bowl,Cornelius Kierstede,,1700,1710,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/802
Desk and bookcase,,,1760,1790,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/3152
Lamp,Louis C. Tiffany,,1904,1915,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/4715
Basket,Myer Myers,,1770,1776,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/364
Desk and Bookcase,,,1808,1811,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/3152
Library Table,Herter Brothers,,1879,1882,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/4785
The Magnolia Vase,Tiffany & Co.,,1890,1893,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/4923
Covered goblet,New Bremen Glass Manufactory,,1788,1788,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/2390
High chest of drawers,,,1740,1760,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/4285
Presentation Vase,Thomas Fletcher,,1825,1825,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/6779
Wardrobe,Herter Brothers,,1875,1883,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/9724
"Room from the Hart House, Ipswich, Massachusetts",,,1680,1680,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/6887
Plate,John Monday,,1830,1830,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/6000
Tea Urn,Paul Revere Jr.,,1791,1791,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/8288
Pocket bottle,American Flint Glass Manufactory,,1769,1774,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/6635
Sauceboat,Anthony Rasch,,1812,1818,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/7212
Vase,Louis C. Tiffany,,1893,1896,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/9480
Jubal and Miriam,William Jay Bolton,,1843,1848,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/7874
Vase,John Bennett,,1882,1882,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/9317
Sofa,John Henry Belter,,1850,1860,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/7586
Phebe Warner Coverlet,Sarah Furman Warner Williams,Female,1800,1806,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/13606
Embroidered Picture,Mary Wright,Female,1751,1757,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/13747
Vase,Maija Grotell,Female,1937,1953,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/19948
Tulips panel,Candace Wheeler,Female,1883,1887,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/15971
Card table,Charles-Honoré Lannuier,,1817,1817,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/15387
Wine cup,John Hull,,1660,1660,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/16953
Necklace,Frank Gardner Hale,,1920,1920,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/19434
"Quilt, Tumbling Blocks with Signatures pattern",Adeline Harris Sears,Female,1856,1856,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/15391
Chocolate Pot,Tiffany & Co.,,1879,1879,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/20121
Bowl and Stand,Marie Zimmermann,Female,1917,1927,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/20325
Pitcher,Gorham Manufacturing Company,,1882,1882,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/21586
Teapot,George E. Ohr,,1894,1903,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/20144
Sampler,Julia Ann Fitch,Female,1807,1807,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/20615
Architectural woodwork and paneling,George A. Schastey & Co.,,1881,1882,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/20415
Necklace,Meta Overbeck,Female,1909,1919,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/845816
Game Table,Thomas Day,,1845,1855,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/857028
Emma Van Name,Joshua Johnson,,1805,1805,The American Wing,,United States,https://www.metmuseum.org/art/collection/search/701989
Brooch,Marcus and Co.,,1900,1900,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/702563
"Dance in a Subterranean Roundhouse at Clear Lake, California",Jules Tavernier,,1878,1878,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/698529
Figure of a Lion,John Bell,,1845,1855,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/701639
Woman’s Dress and Accessories,Jodi Archambault,Female,2005,2005,The American Wing,Hunkpapa Lakota (Teton Sioux),United States,https://www.metmuseum.org/art/collection/search/644324
The Battle of the Little Bighorn,Standing Bear/ Mató Nájin,,1915,1925,The American Wing,"Minneconjou Lakota/ Teton Sioux, Native American",United States,https://www.metmuseum.org/art/collection/search/717548
Brooch,Paulding Farnham,,1889,1896,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/744107
Shoulder bag (missing strap),,,1795,1805,The American Wing,"Anishinaabe, possibly Mississauga Ojibwa, Native American",United States,https://www.metmuseum.org/art/collection/search/751507
Teapot,John Bartlam,,1765,1769,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/777786
Untitled (Cracked Watermelon),Charles Ethan Porter,,1885,1895,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/677910
Century Vase,Karl L. H. Müller,,1877,1877,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/1524
Necklace,Dreicer & Co.,,1900,1910,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/21197
Black-on-Black Jar,Maria Martínez,Female,1919,1920,The American Wing,"San Ildefonso, Native American",United States,https://www.metmuseum.org/art/collection/search/736324
Mask,,,1895,1905,The American Wing,"Yup'ik, Native American",United States,https://www.metmuseum.org/art/collection/search/751539
Corsage Piece,Tiffany & Co.,,1880,1895,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/2276
Vase,Tucker Factory,,1828,1836,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/21355
The Bryant Vase,Tiffany & Co.,,1876,1876,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/1029
Basket bowl,Louisa Keyser,,1907,1907,The American Wing,"Washoe, Native American",United States,https://www.metmuseum.org/art/collection/search/717566
Comb,,,1675,1685,The American Wing,"Seneca or Susquehannock, Native American",United States,https://www.metmuseum.org/art/collection/search/717558
Women's Acoma Cape or Dress,,,1845,1855,The American Wing,"Acoma, Native American",United States,https://www.metmuseum.org/art/collection/search/717562
Gray and Brass,John Sloan,,1907,1907,The American Wing,American,United States,https://www.metmuseum.org/art/collection/search/707486
Pair of Candelabra,Tiffany & Co.,,1884,1884,The American Wing,American,USA,https://www.metmuseum.org/art/collection/search/905779
