Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Helmet (Zukinnari Kabuto),,,,,Arms and Armor,Japanese,Japan,https://www.metmuseum.org/art/collection/search/24014
Congressional Presentation Sword with Scabbard of Colonel Marinus Willett (1740–1830),C. Liger,,1785,1786,Arms and Armor,"French, Paris",France,https://www.metmuseum.org/art/collection/search/22631
Hunting Sword with Scabbard,Joseph Deutschmann,,,,Arms and Armor,"German, possibly Munich",Germany,https://www.metmuseum.org/art/collection/search/22914
Congressional Presentation Sword and Scabbard of Major General John E. Wool (1784–1869),Samuel Jackson,,1854,1855,Arms and Armor,"American, probably Baltimore",United States,https://www.metmuseum.org/art/collection/search/35650
Sword Guard (Tsuba),Ishiguro Masayoshi,,,,Arms and Armor,Japanese,Japan,https://www.metmuseum.org/art/collection/search/24623
Armor (Gusoku),Bamen Tomotsugu,,,,Arms and Armor,"Japanese, Toyohara, Echizen province",Japan,https://www.metmuseum.org/art/collection/search/24975
Pair of Flintlock Pistols of Empress Catherine the Great (1729–1796),Johan Adolph Grecke,,1786,1786,Arms and Armor,"Russian, Saint Petersburg",Russia,https://www.metmuseum.org/art/collection/search/24927
Blades and Mountings for a Pair of Swords (Daishō),Sukemitsu of Bizen,,1401,1900,Arms and Armor,Japanese,Japan,https://www.metmuseum.org/art/collection/search/27789
Presentation Sword and Scabbard of Brigadier General Daniel Davis (1777–1814) of the New York Militia,John Targee,,1790,1842,Arms and Armor,"American, New York",United States,https://www.metmuseum.org/art/collection/search/22769
Mask,Myōchin Muneakira,,1745,1745,Arms and Armor,Japanese,Japan,https://www.metmuseum.org/art/collection/search/22739
Armor,,,1375,1950,Arms and Armor,Italian,Italy,
Double-Barrel Breech-Loading Pinfire Shotgun,J. C. A. Brun,,1866,1866,Arms and Armor,"French, Paris",France,https://www.metmuseum.org/art/collection/search/24957
Presentation Smallsword with Scabbard,James Morisset,,1797,1798,Arms and Armor,"British, London",England,https://www.metmuseum.org/art/collection/search/22932
Dagger with Scabbard,,,1605,1627,Arms and Armor,"Indian, Mughal",India,https://www.metmuseum.org/art/collection/search/24907
Flintlock Longrifle,Jacob Kuntz,,1800,1850,Arms and Armor,"American, Philadelphia",United States,https://www.metmuseum.org/art/collection/search/24681
"Flintlock Gun of Louis XIII (1601–1643), King of France",Pierre Le Bourgeois,,1595,1645,Arms and Armor,"French, Lisieux",France,https://www.metmuseum.org/art/collection/search/24865
Costume Armor in the Classical Style,Hallé,,1763,1815,Arms and Armor,"French, Paris",France,https://www.metmuseum.org/art/collection/search/24931
"Colt Third Model Dragoon Percussion Revolver, serial no. 12406",Samuel Colt,,1828,1878,Arms and Armor,"American, Hartford, Connecticut",United States,https://www.metmuseum.org/art/collection/search/24960
Armor (Yoroi) of Ashikaga Takauji (1305–1358),,,1300,1350,Arms and Armor,Japanese,Japan,https://www.metmuseum.org/art/collection/search/22506
"Cased Set of a Flintlock Rifle, a Pair of Pistols, and Accessories",Nicolas Noël Boutet,,1775,1825,Arms and Armor,"French, Versailles",France,https://www.metmuseum.org/art/collection/search/24861
Shield for the Field or Tournament (Targe),,,1425,1475,Arms and Armor,German,Germany,https://www.metmuseum.org/art/collection/search/22876
Album of Tournaments and Parades in Nuremberg,,,1550,1675,Arms and Armor,"German, Nuremberg",Germany,https://www.metmuseum.org/art/collection/search/25111
"Armor of Infante Luis, Prince of Asturias (1707–1724)",Jean Drouart,,1687,1737,Arms and Armor,"French, Paris",France,https://www.metmuseum.org/art/collection/search/24937
Shield,Girolamo da Treviso,,1510,1560,Arms and Armor,"Italian, probably Bologna",Italy,https://www.metmuseum.org/art/collection/search/24693
Helm for the Joust of Peace (Stechhelm),,,1475,1525,Arms and Armor,"German, probably Nuremberg",Germany,https://www.metmuseum.org/art/collection/search/23216
Double-Barreled Wheellock Pistol Made for Emperor Charles V (reigned 1519–56),Peter Peck,,1515,1570,Arms and Armor,"German, Munich",Germany,https://www.metmuseum.org/art/collection/search/22387
Powder Horn,,,1759,1759,Arms and Armor,Colonial American,United States,https://www.metmuseum.org/art/collection/search/24648
Saber with Scabbard,,,1688,1900,Arms and Armor,"grip, Indian; guard, scabbard, and decoration on blade, Turkish; blade, Iranian",India,https://www.metmuseum.org/art/collection/search/22871
Sallet in the Shape of a Lion's Head,,,1450,1505,Arms and Armor,Italian,Italy,https://www.metmuseum.org/art/collection/search/22860
Helmet,,,401,500,Arms and Armor,Japanese,Japan,https://www.metmuseum.org/art/collection/search/23026
Armet,LIONARDO,,1415,1465,Arms and Armor,"Italian, probably Milan",Italy,https://www.metmuseum.org/art/collection/search/24686
"Armor of Henry II, King of France (reigned 1547–59)",Jean Cousin the Elder,,1530,1580,Arms and Armor,"French, possibly Paris",France,https://www.metmuseum.org/art/collection/search/24671
Shield of Henry II of France (reigned 1547–59),,,1530,1580,Arms and Armor,French,France,https://www.metmuseum.org/art/collection/search/23948
"Armor Garniture of George Clifford (1558–1605),",Jacob Halder,,1586,1586,Arms and Armor,"British, Greenwich",England,https://www.metmuseum.org/art/collection/search/23939
Armor of Emperor Ferdinand I (1503–1564),Kunz Lochner,,1549,1549,Arms and Armor,"German, Nuremberg",Germany,https://www.metmuseum.org/art/collection/search/23944
Helmet (Sallet),,,1450,1550,Arms and Armor,"Spanish, possibly Granada",Spain,https://www.metmuseum.org/art/collection/search/24900
Burgonet with Falling Buffe,,,1525,1575,Arms and Armor,French,France,https://www.metmuseum.org/art/collection/search/27791
