Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Portrait of Alain de Coëtivy (1407–1474),Jean Fouquet,,1446,1460,Drawings and Prints,,France,https://www.metmuseum.org/art/collection/search/337088
"Édouard Manet, Seated, Holding His Hat",Edgar Degas,,1863,1873,Drawings and Prints,,France,https://www.metmuseum.org/art/collection/search/333813
Moulin Rouge: La Goulue,Henri de Toulouse-Lautrec,,1891,1891,Drawings and Prints,,France,https://www.metmuseum.org/art/collection/search/333990
The Connoisseur,Honoré Daumier,,1855,1870,Drawings and Prints,,France,https://www.metmuseum.org/art/collection/search/333915
Study of a Seated Woman Seen from Behind (Marie-Gabrielle Capet),Adélaïde Labille-Guiard,Female,1789,1789,Drawings and Prints,,France,https://www.metmuseum.org/art/collection/search/436840
The Entrance Hall of the Regensburg Synagogue,Albrecht Altdorfer,,1519,1519,Drawings and Prints,,Germany,https://www.metmuseum.org/art/collection/search/336256
"Self-Portrait, turned slightly to the left",Käthe Kollwitz,Female,1888,1898,Drawings and Prints,,Germany,https://www.metmuseum.org/art/collection/search/373894
Astronomicum Caesareum,Michael Ostendorfer,,1540,1540,Drawings and Prints,,Germany,https://www.metmuseum.org/art/collection/search/337061
"A Mill with a Fortified Bridge, a Rowing Boat in the Foreground",Roelandt Savery,,1596,1639,Drawings and Prints,,Holland,https://www.metmuseum.org/art/collection/search/820758
Mascarade à la Grecque; Suite des Vases; and [Cheminées],Ennemond Alexandre Petitot,,1764,1771,Drawings and Prints,,Italy,https://www.metmuseum.org/art/collection/search/355281
Hypnerotomachia Poliphili,Francesco Colonna,,1499,1499,Drawings and Prints,,Italy,https://www.metmuseum.org/art/collection/search/365313
Poster celebrating the victory over the Nazis at the end of World War II,Ángel Bracho,,1945,1945,Drawings and Prints,,Mexico,https://www.metmuseum.org/art/collection/search/853636
"Poster advertising an exhibition of work by young Mexican artists 'of the revolution' held at the Casa de Vacas in Retiro Park, Madrid, June 1929",Gabriel Fernández Ledesma,,1929,1929,Drawings and Prints,,Mexico,https://www.metmuseum.org/art/collection/search/713375
Seated Giant,Goya (Francisco de Goya y Lucientes),,1818,1818,Drawings and Prints,,Spain,https://www.metmuseum.org/art/collection/search/334002
"God save us from such a bitter fate; a bandit threatening a woman and a child with a knife, page 41 from the ""Black Border Album"" (E)",Goya (Francisco de Goya y Lucientes),,1811,1825,Drawings and Prints,,Spain,https://www.metmuseum.org/art/collection/search/334050
Self-Portrait,Goya (Francisco de Goya y Lucientes),,1791,1801,Drawings and Prints,,Spain,https://www.metmuseum.org/art/collection/search/334004
The Archangel Gabriel announcing the birth of Christ,Lucas van Leyden,,1520,1529,Drawings and Prints,,The Netherlands,https://www.metmuseum.org/art/collection/search/383125
