Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
"Naophorous Block Statue of a Governor of Sais, Psamtikseneb",,,-664,-610,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/550755
Head Attributed to Arsinoe II,,,-278,-270,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547699
Head of a goddess,,,-1295,-1270,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547704
Head of Ptolemy II or III,,,-246,-222,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547773
Cosmetic Vessel in the Shape of a Cat,,,-1990,-1990,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544039
Head of Tutankhamun,,,-1336,-1327,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544690
Jar from the tomb of Sennedjem,,,-1279,-1213,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544702
Head of King Seti II Wearing the Blue Crown,,,-1200,-1194,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544752
Floral collar from Tutankhamun's Embalming Cache,,,-1336,-1336,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544782
Head from a Statue of King Amenhotep I,,,-1525,-1525,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544453
Blue-Painted Ibex Amphora from Malqata,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544501
Water Bottle from Tutankhamun's Embalming Cache,,,-1336,-1336,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544781
Statuette of the Child Amenemhab,,,-1550,-1479,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544451
Arched Harp (shoulder harp),,,-1390,-1295,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/546194
King Sahure Accompanied by a Divine Figure,,,-2458,-2458,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/543882
Statuette of the Lady Tiye,,,-1390,-1390,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544524
Mechanical Dog,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544519
Cosmetic Spoon in the Shape of Swimming Woman Holding a Dish,,,-1390,-1390,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548584
Cosmetic Box with a Swivel Top,,,-1550,-1550,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547031
Relief of Nebhepetre Mentuhotep II and the Goddess Hathor,,,-2010,-2000,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548212
Shabti of Yuya,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548343
Guardian Figure,,,-1919,-1885,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/543864
Chair of Reniseneb,,,-1450,-1450,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547687
Artist's Gridded Sketch of Senenmut,,,-1479,-1458,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547684
Ritual Statuette of Thutmose III,,,-1479,-1425,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547772
Face attributed to Ptolemy II Philadelphos or a contemporary,,,-285,-246,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/548230
Heart Scarab of Hatnefer,,,-1492,-1473,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/545146
Ceiling painting from the palace of Amenhotep III,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544502
Ostracon with Pharaoh Spearing a Lion and a Royal Hymn on its Back,,,-1186,-1186,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544076
Model of a Granary with Scribes,,,-1981,-1981,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/545281
Jug Decorated with Dolphins and Birds,,,-1750,-1550,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544822
Whip Handle in the Shape of a Horse,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544853
Votive stela of Userhat,,,-1327,-1295,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544776
A Tusk Figurine of a Man,,,-3800,-3500,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/547232
Stelophorous Statue of Bay,,,-1294,-1250,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/554769
Gazelle,,,-1390,-1352,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544068
Libation Dish Depicting Ka-Arms Presenting an Ankh-Sign,,,-3100,-2900,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/543866
Seated Statue of Hatshepsut,,,-1473,-1458,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544450
Pectoral and Necklace of Sithathoryunet with the Name of Senwosret II,,,-1887,-1878,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544232
Sphinx of Hatshepsut,,,-1473,-1458,Egyptian Art,,Egypt,https://www.metmuseum.org/art/collection/search/544442
