Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Medallion with a Portrait of Gennadios,,,250,300,Medieval Art,Roman,Egypt,https://www.metmuseum.org/art/collection/search/466645
"Manuscript Leaf with the Crucifixion, from a Missal",,,1270,1280,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/466070
Crucified Christ,,,1260,1280,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/466045
Virgin and Child in Majesty,,,1175,1200,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/463795
Relief of the Betrayal and Arrest of Jesus,,,1264,1288,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/463973
Plaque with the Descent from the Cross,,,1320,1340,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464156
Chasse of Champagnat,,,1150,1150,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464559
Tabernacle of Cherves,,,1220,1230,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464604
Chasse with the Crucifixion and Christ in Majesty,,,1180,1190,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464483
Scenes from the Legend of Saint Vincent of Saragossa and the History of His Relics,,,1245,1247,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/466580
Virgin of the Annunciation,,,1300,1310,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464607
Reliquary Bust of Saint Yrieix,,,1220,1240,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464333
Box with Romance Scenes,,,1310,1330,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/464125
Mirror Case,,,1350,1375,Medieval Art,French,France,https://www.metmuseum.org/art/collection/search/467733
Aquamanile in the Form of a Mounted Knight,,,1245,1255,Medieval Art,German,Germany,https://www.metmuseum.org/art/collection/search/468633
Game Piece with a Scene from the Life of Apollonius of Tyre,,,1170,1170,Medieval Art,German,Germany,https://www.metmuseum.org/art/collection/search/466289
Lectern for the Reading of the Gospels with the Eagle of Saint John the Evangelist,Giovanni Pisano,,1301,1301,Medieval Art,Italian,Italy,https://www.metmuseum.org/art/collection/search/465937
Bowl with a Horseman Spearing a Serpent,,,1375,1425,Medieval Art,Spanish,Spain,https://www.metmuseum.org/art/collection/search/467746
Processional Cross,,,1150,1175,Medieval Art,Spanish,Spain,https://www.metmuseum.org/art/collection/search/464023
Plaque with the Journey to Emmaus and Noli Me Tangere,,,1115,1120,Medieval Art,Spanish,Spain,https://www.metmuseum.org/art/collection/search/464443
