Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Mwanangana (lord of the land) playing a sanza,Chokwe artist,,1800,1868,The Michael C. Rockefeller Wing,Chokwe,Angola,https://www.metmuseum.org/art/collection/search/316173
"Mask (Buk, Krar, or Kara)",,,1800,1900,The Michael C. Rockefeller Wing,Torres Strait Islander,Australia,https://www.metmuseum.org/art/collection/search/311950
Incense burner with feline head,Tiwanaku artist(s),,500,1000,The Michael C. Rockefeller Wing,Tiwanaku,Bolivia,https://www.metmuseum.org/art/collection/search/310552
Karan-wemba (female figure mask),Mossi blacksmith,,1800,1950,The Michael C. Rockefeller Wing,Mossi,Burkina Faso,https://www.metmuseum.org/art/collection/search/312288
Helmet crest from a nja masquerade,Grassfields artists,,1800,1880,The Michael C. Rockefeller Wing,Bamum kingdom,Cameroon,https://www.metmuseum.org/art/collection/search/311021
Male Figure (Moai Tangata),,,1800,1900,The Michael C. Rockefeller Wing,Rapa Nui people,Chile,https://www.metmuseum.org/art/collection/search/314826
Poporo (lime container) with female figures,Quimbaya artist(s),,1,600,The Michael C. Rockefeller Wing,Quimbaya,Colombia,https://www.metmuseum.org/art/collection/search/316682
Bird pendant,Central Region artist(s),,300,700,The Michael C. Rockefeller Wing,Central Region,Costa Rica,https://www.metmuseum.org/art/collection/search/313330
Frog pendant,Chiriquí artist(s),,700,1550,The Michael C. Rockefeller Wing,Chiriquí,Costa Rica,https://www.metmuseum.org/art/collection/search/316661
Pair of Diviner's Figures,,,1800,1960,The Michael C. Rockefeller Wing,Baule peoples,Côte d'Ivoire,https://www.metmuseum.org/art/collection/search/319458
Kpeliye’e headdress,Senufo artist,,1800,1960,The Michael C. Rockefeller Wing,Senufo,Côte d'Ivoire,https://www.metmuseum.org/art/collection/search/310950
Female Figure,,,-3000,-2000,The Michael C. Rockefeller Wing,Valdivia,Ecuador,https://www.metmuseum.org/art/collection/search/314204
Book of the Gospels,Northern Highlands artist,,1350,1450,The Michael C. Rockefeller Wing,,Ethiopia,https://www.metmuseum.org/art/collection/search/317618
Mäsqälä qǝddase (liturgical cross),Ezra,,1480,1520,The Michael C. Rockefeller Wing,,Ethiopia,https://www.metmuseum.org/art/collection/search/317196
Seated Figure,,,1850,1950,The Michael C. Rockefeller Wing,"Caroline Islands, Satawan",Federated States of Micronesia,https://www.metmuseum.org/art/collection/search/320346
Nlô byeri (reliquary guardian head),Betsi-Fang artist,,1800,1900,The Michael C. Rockefeller Wing,Fang-Betsi,Gabon,https://www.metmuseum.org/art/collection/search/312429
Mukudj (mask),Punu artist,,1850,1950,The Michael C. Rockefeller Wing,Punu,Gabon,https://www.metmuseum.org/art/collection/search/318667
Nsodie (memorial head),Akan artist,,1600,1750,The Michael C. Rockefeller Wing,Akan,Ghana,https://www.metmuseum.org/art/collection/search/311024
