Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Grand Piano,Ferdinand Hofmann,,,,Musical Instruments,Austrian,Austria,https://www.metmuseum.org/art/collection/search/503677
Clarinet in B-flat,Charles Joseph Sax,,,,Musical Instruments,Belgian,Belgium,https://www.metmuseum.org/art/collection/search/503669
Raven rattle,,,1801,1899,Musical Instruments,Native American (Tsimshian),Canada,https://www.metmuseum.org/art/collection/search/501227
Dung-Chen,,,1368,1644,Musical Instruments,Chinese,China,https://www.metmuseum.org/art/collection/search/503348
Goqing,,,19th Century,19th Century,Musical Instruments,Chinese,China,https://www.metmuseum.org/art/collection/search/500637
Tánggǔ (堂鼓),"Elevated Tone Workshop, Guangzhou (Canton)",,1801,1900,Musical Instruments,Chinese,China,https://www.metmuseum.org/art/collection/search/500605
Pipa (琵琶 ),,,1590,1640,Musical Instruments,Chinese,China,https://www.metmuseum.org/art/collection/search/503651
Guqin (古琴 ),Prince Lu,,1634,1634,Musical Instruments,Chinese,China,https://www.metmuseum.org/art/collection/search/503523
Accordion,Alexandre Pere & Fils,,1840,1860,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/503502
Guitar,Jean-Baptiste Voboam,,1697,1697,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/503930
Ceramic Horn,,,,,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/501691
Bassoon,Dominique Antony Porthaux,,1790,1800,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/503528
Cornet à Pistons in B-flat,Courtois frères,,1833,1833,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/503546
Lyre Guitar,Joseph Pons,,1795,1815,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/503505
Transverse Flute in D-flat,Claude Laurent,,1813,1813,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/501534
Violoncello,Jean Baptiste Vuillaume,,1840,1860,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/505461
Musette Baroque,Unknown,,1700,1700,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/503578
Transverse Flute,Garion,,1720,1740,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/504256
Portrait of Monsieur Aublet,Guillaume Voiriot,,1780,1785,Musical Instruments,French,France,https://www.metmuseum.org/art/collection/search/505722
Clarinet in D,,,1750,1770,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/506724
English Horn,H. Grenser,,,1807,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/504284
Natural Trumpet,Johann Wilhelm Haas,,1675,1699,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503971
Violin,Joachim Tielke,,,,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503443
Natural Trumpet in D,Andreas Naeplaesnigg,,1790,1790,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/501675
Guitar,Hermann Hauser,,1937,1937,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503282
Pair of Transverse Flutes,Johann Wilhelm Oberlender (the Elder),,,,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503467
Clavichord,Christian Kintzing,,1763,1763,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503271
Jagdhorn in G,Jacob Schmidt,,,,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503703
Side Drum,,,1694,1733,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503818
Musical Clock with Spinet and Organ,Veit Langenbucher,,,,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503530
Transverse Flute in D-flat,,,1760,1790,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/504019
Cornetto in A,,,1560,1580,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/503951
Walking-Stick Flute/Oboe,Georg Henrich Scherer,,1750,1757,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/504497
Alto Recorder in F,Johann Benedikt Gahn,,1680,1720,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/501520
Claviorganum,Lorenz Hauslaib,,1598,1598,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/501762
Regal,Georg Voll,,1575,1575,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/505399
Kettle Drums,Franz Peter Bundsen,,1780,1780,Musical Instruments,Hanoverian (German),Germany,https://www.metmuseum.org/art/collection/search/506174
Cittern,Joachim Tielke,,1680,1690,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/504210
Rectangular Octave Virginal,,,1580,1620,Musical Instruments,German,Germany,https://www.metmuseum.org/art/collection/search/502325
Drum,,,1900,1925,Musical Instruments,Akan Ashanti people,Ghana,https://www.metmuseum.org/art/collection/search/503160
Ghanti (bell),,,,,Musical Instruments,Indian,India,https://www.metmuseum.org/art/collection/search/500736
Sarangi,,,,,Musical Instruments,Indian,India,https://www.metmuseum.org/art/collection/search/503204
Śankh,,,1800,1899,Musical Instruments,Indian,India,https://www.metmuseum.org/art/collection/search/503672
Sitar,Murari Adhikari,,1997,1997,Musical Instruments,Indian,India,https://www.metmuseum.org/art/collection/search/503529
Taūs (mayuri),,,1800,1899,Musical Instruments,Indian,India,https://www.metmuseum.org/art/collection/search/500709
Sesando,,,,,Musical Instruments,Javanese (Timorese),Indonesia,https://www.metmuseum.org/art/collection/search/502064
