Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Standing Virgin and Child,Niclaus Gerhaert von Leyden,,1467,1473,The Cloisters,Austrian,Austria,https://www.metmuseum.org/art/collection/search/466287
Adoration of the Magi from Seven Scenes from the Life of Christ,,,1390,1390,The Cloisters,Austrian,Austria,https://www.metmuseum.org/art/collection/search/472155
Saint Nicholas Accuses the Consul from Scenes from the Life of Saint Nicholas,,,1200,1210,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/469856
Saltcellar,,,1225,1275,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/469879
Enthroned Virgin and Child,,,1295,1305,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/469844
Chapter House from Notre-Dame-de-Pontaut,,,1100,1199,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/471179
Doorway from Moutiers-Saint-Jean,,,1247,1253,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470313
Reliquary Shrine,Jean de Touyl,,1325,1350,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470310
Enthroned Virgin and Child,,,1130,1140,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470311
A Knight of the d'Aluye Family,,,1248,1267,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470599
Diptych with the Coronation of the Virgin and the Last Judgment,,,1260,1270,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/471975
The Crucifixion,Master of the Codex of Saint George,,1330,1335,The Cloisters,Italian,France,https://www.metmuseum.org/art/collection/search/471904
Plaque with Censing Angels,,,1170,1180,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/474263
"The Belles Heures of Jean de France, duc de Berry",The Limbourg Brothers,,1405,1409,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470306
"The Hours of Jeanne d'Evreux, Queen of France",Jean Pucelle,,1324,1328,The Cloisters,French,France,https://www.metmuseum.org/art/collection/search/470309
Plaque with Saint John the Evangelist,,,800,850,The Cloisters,Carolingian,Germany,https://www.metmuseum.org/art/collection/search/469837
"Diptych with Scenes of the Annunciation, Nativity, Crucifixion, and Resurrection",,,1300,1325,The Cloisters,German,Germany,https://www.metmuseum.org/art/collection/search/469858
Chalice,,,1230,1250,The Cloisters,German,Germany,https://www.metmuseum.org/art/collection/search/474435
Ewer with Wild Man Finial,,,1495,1505,The Cloisters,German,Germany,https://www.metmuseum.org/art/collection/search/470312
The Adoration of the Shepherds,Bartolo di Fredi,,1374,1374,The Cloisters,Italian,Italy,https://www.metmuseum.org/art/collection/search/470600
Portal from the Church of San Leonardo al Frigido,Biduinus,,1170,1180,The Cloisters,Italian,Italy,https://www.metmuseum.org/art/collection/search/471911
Plaque with the Holy Women at the Sepulchre,,,900,950,The Cloisters,North Italian,Italy,https://www.metmuseum.org/art/collection/search/466254
"Tomb of Ermengol VII, Count of Urgell",,,1297,1353,The Cloisters,Catalan,Spain,https://www.metmuseum.org/art/collection/search/472387
Crucifix,,,1147,1203,The Cloisters,Spanish,Spain,https://www.metmuseum.org/art/collection/search/473008
Lion,,,1200,1299,The Cloisters,Spanish,Spain,https://www.metmuseum.org/art/collection/search/471061
Saint James the Greater,Gil de Siloe,,1489,1493,The Cloisters,Spanish,Spain,https://www.metmuseum.org/art/collection/search/471884
Fragment of a Tapestry or Wall Hanging,,,1417,1433,The Cloisters,Upper Rhenish,Switzerland,https://www.metmuseum.org/art/collection/search/466178
