Title,Artist,Gender,Earliest Date,Latest Date,Department,Culture,Country,Object Link
Arte madí,Diyi Laañ,,1948,1948,The Libraries,,Argentina,https://www.metmuseum.org/art/collection/search/901429
Humanario,Sara Facio,,1976,1976,The Libraries,,Argentina,https://www.metmuseum.org/art/collection/search/902066
Perla del sud,Perla del sud,,1911,1911,The Libraries,,Argentina,https://www.metmuseum.org/art/collection/search/918233
CAYC : [gacetilla],Centro de Arte y Comunicación,,3,3,The Libraries,,Argentina,https://www.metmuseum.org/art/collection/search/929437
A partir de cero,Enrique Molina,,1952,1956,The Libraries,,Argentina,https://www.metmuseum.org/art/collection/search/852647
Der aller durchleuchtigisten und grosmächtigen Kayser ... Königen ... Herren vom Adel ... Bildtnussen und kurtz Beschreibungen ihrer so wol in Fridts- als Kriegszzeiten verrichten fürnembsten Thaten und Handlungen : deren Waffen und Rüstungen ... auss allen Landen der Welt ... in dem Schloss Ombrass ... zu ewiger Gedächtnuss auffbehalten werden ...,Jacob Schrenck von Nozing,,1603,1603,The Libraries,,Austria,https://www.metmuseum.org/art/collection/search/697348
"Die Wiener Werkstätte, 1903-1928 : modernes Kunstgewerbe und sein Weg",Wiener Werkstätte,,1929,1929,The Libraries,,Austria,https://www.metmuseum.org/art/collection/search/820681
KZ. Mauthausen : Bild und Wort,Simon Wiesenthal,,1946,1946,The Libraries,,Austria,https://www.metmuseum.org/art/collection/search/897071
"Calendrier belgique, curieux et utile, contenant les evenemens historiques sur les jours de l'an, et les travaux à faire dans les jardins en chaque mois de l'année, la description des tableaux remarquables, que l'on trouve dans la ville de Gand, avec les noms des peintres pour l'annėe MDCCLXXII",Pierre de Goesin,,1772,1772,The Libraries,,Belgium,https://www.metmuseum.org/art/collection/search/681349
Phantomas. 62. Marcel Broodthaers,Marcel Broodthaers,,1966,1966,The Libraries,,Belgium,https://www.metmuseum.org/art/collection/search/702543
Diario No. 1 : año 1,Mirtha Dermisache,,1975,1975,The Libraries,,Belgium,https://www.metmuseum.org/art/collection/search/902067
"Céramiques de la Lys, S.A. : Marcke-lez-Coutrai, Marcke-bij-Kortrijk","Céramiques de la Lys, S.A",,1925,1935,The Libraries,,Belgium,https://www.metmuseum.org/art/collection/search/918075
Nova objetividade brasiliera,Museu de Arte Moderna,,1967,1967,The Libraries,,Brazil,https://www.metmuseum.org/art/collection/search/747797
Lygia Pape : obras,Lygia Pape,Female,1976,1976,The Libraries,,Brazil,https://www.metmuseum.org/art/collection/search?offset=0&q=Lygia+Pape+%3A+obras
Amazônia,Claudia Andujar,,1979,1979,The Libraries,,Brazil,https://www.metmuseum.org/art/collection/search/902068
Escracho,Eduardo Kac,,1983,1983,The Libraries,,Brazil,https://www.metmuseum.org/art/collection/search/901955
"Exposição pequeno tamanho : Caio Mourão, Didi",,,1964,1964,The Libraries,,Brazil,https://www.metmuseum.org/art/collection/search/922215
Decorating paper : pattern & technique,Claudia Cohen,,2015,2015,The Libraries,,Canada,https://www.metmuseum.org/art/collection/search/727404
Skawennati : from SkyWorld to cyberspace,Skawennati Tricia Fragnito,,2019,2019,The Libraries,,Canada,https://www.metmuseum.org/art/collection/search/889364
When raven became spider,Dunlop Art Gallery,,2017,2017,The Libraries,,Canada,https://www.metmuseum.org/art/collection/search/889428
Carpe fin : a Haida manga,Michael Nicoll Yahgulanaas,,2019,2019,The Libraries,,Canada,https://www.metmuseum.org/art/collection/search/889358
Mandrágora,Braulio Arenas,,1941,1941,The Libraries,,Chile,https://www.metmuseum.org/art/collection/search/852661
Leitmotiv : boletin de hechos & ideas,Roberto Matta,,1942,1952,The Libraries,,Chile,https://www.metmuseum.org/art/collection/search/852664
Bo gu tu,Fu Wang,,1752,1752,The Libraries,,China,https://www.metmuseum.org/art/collection/search/705290
San li tu,Chongyi Nie,,1676,1676,The Libraries,,China,https://www.metmuseum.org/art/collection/search/715005
Jin shi suo,Yunpeng Feng,,1893,1893,The Libraries,,China,https://www.metmuseum.org/art/collection/search/895189
Abeceda : [cyklus básní],Vitezslav Nezval,,1926,1926,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/820684
Princip slasti : surrealismus : únor-květen 1968,Vincent Bournoure,,1968,1968,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/852663
12 původních litografií z německých koncentračních táborů,Leo Haas,,1947,1947,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/896955
Soubor dřevorytů z koncentračního tábora,Bohumil Stibor,,1946,1946,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/896966
Ghetto našich dnů,Mirko Tůma,,1946,1946,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/896974
I have not seen a butterfly around here : children's drawings and poems from Terezín,,,1993,1993,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/896209
Vzpominky z koncentráku,Vladimir Baudyš,,1945,1945,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/896975
Kresby z koncentráku : 61 puvodnich litografií,Ota Matoušek,,1946,1946,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/896977
Zlom,Karel Teige,,1928,1928,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/901414
S lodí jež dováží čaj a kávu : poesie,Karel Teige,,1928,1928,The Libraries,,Czech Republic,https://www.metmuseum.org/art/collection/search/901415
Nordiske oldsager i det Kongelige museum i Kjöbenhavn,Jens Jacob Asmussen Worsaae,,1859,1859,The Libraries,,Denmark,https://www.metmuseum.org/art/collection/search/912212
La séance continue,Art et liberté (Group of artists),,1940,1940,The Libraries,,Egypt,https://www.metmuseum.org/art/collection/search/820685
Men God forgot,Albert Cossery,,1944,1944,The Libraries,,Egypt,https://www.metmuseum.org/art/collection/search/852666
Examples of Chinese ornament selected from objects in the South Kensington Museum and other collections,Owen Jones,,1867,1867,The Libraries,,England,https://www.metmuseum.org/art/collection/search/739504
"Collection of specimens and illustrations of the textile manufactures of India. Second series : Kincobs, Nos. 401 to 458",John Forbes Watson,,1873,1880,The Libraries,,England,https://www.metmuseum.org/art/collection/search/811179
The Chippendale dam,Hugh Troy,,1941,1941,The Libraries,,England,https://www.metmuseum.org/art/collection/search/787807
"Antiquities of Mexico : comprising fac-similes of ancient Mexican paintings and hieroglyphics, preserved in the Royal Libraries of Paris, Berlin, and Dresden ; in the Imperial Library of Vienna; in the Vatican Library ; in the Borgian Museum at Rome ; in the Library of the Institute at Bologna ; and in the Bodleian Library at Oxford.  Together with the Monuments of New Spain, by M. Dupaix: with their respective scales of measurement and accompanying descriptions. The whole illustrated by many valuable inedited manuscripts","Augostino Aglio, the elder",,1831,1848,The Libraries,,England,https://www.metmuseum.org/art/collection/search/820544
The grammar of ornament,Owen Jones,,1856,1856,The Libraries,,England,https://www.metmuseum.org/art/collection/search/814025
